complex_accuracy,inference_complex_seconds,inference_ratio_realified_over_complex,inference_realified_seconds,jacobian_complex_seconds,jacobian_ratio_realified_over_complex,jacobian_realified_seconds,max_jacobian_error,max_prediction_error,n_qubits,realified_accuracy,samples,training_complex_seconds,training_epochs,training_loss_error,training_parameter_error,training_prediction_error,training_ratio_realified_over_complex,training_realified_seconds
0.6666666666666666,0.0008013240000011024,1.3350542352308437,0.0010698109999935923,0.004457485000003203,1.8860456064336484,0.008407019999999932,1.6653345369377348e-16,1.1102230246251565e-16,2,0.6666666666666666,6,0.015152536000002215,3,6.166399856011306e-19,0.0,5.551115123125783e-17,1.891922447832521,0.028667422999994585
0.6666666666666666,0.0012975169999975833,1.960967756110536,0.0025443890000005354,0.020588466999996058,2.042162051210931,0.042044986000000506,2.220446049250313e-16,2.220446049250313e-16,4,0.6666666666666666,6,0.06622243500000025,3,1.951563910473908e-18,2.7755575615628914e-17,2.7755575615628914e-16,1.9544349735855655,0.1294274429999973
0.8333333333333334,0.002032773000003374,2.012750070961481,0.004091464000005374,0.04859732600000655,1.9929814451104513,0.09685356899999675,3.885780586188048e-16,1.1102230246251565e-16,6,0.8333333333333334,6,0.15178651600000137,3,3.0357660829594124e-18,1.3877787807814457e-17,1.6653345369377348e-16,1.9990793187452451,0.303433284999997
0.8333333333333334,0.003012631000004262,1.9511231212811828,0.005878013999996767,0.09976480999999637,1.891608814771519,0.18871599399999894,3.0531133177191805e-16,1.6653345369377348e-16,8,0.8333333333333334,6,0.3057549850000001,3,6.505213034913027e-19,0.0,2.220446049250313e-16,1.8989991806674882,0.5806284660000003
,0.0045088910000004034,1.9669677089113728,0.008868843000001903,0.18070854999999852,1.9568047499689842,0.3536113490000048,2.220446049250313e-16,2.220446049250313e-16,10,,6,,,,,,,
