n_qubits,complex_seconds,realified_seconds,realified_over_complex_time,complex_state_bytes,realified_state_bytes,state_storage_ratio_realified_over_complex,complex_peak_rss_delta_kib,realified_peak_rss_delta_kib,probability_error,repeats
4,0.00029710199999755105,0.0005871230000025207,1.9761664344479681,256,256,1.0,1648,1800,5.551115123125783e-17,15
8,0.0006918079999991278,0.0013625850000025252,1.9695999468121836,4096,4096,1.0,1696,1824,5.551115123125783e-17,15
12,0.0016630520000049387,0.0024510229999989974,1.473810199555828,65536,65536,1.0,1876,1876,5.551115123125783e-17,15
16,0.035701439000000335,0.038040105000000324,1.0655062111081843,1048576,1048576,1.0,4916,4472,0.0,7
18,0.12986682500000057,0.13801077800000172,1.0627100339135966,4194304,4194304,1.0,17320,15084,5.551115123125783e-17,5
20,0.3104209890000007,0.38220461899999947,1.2312460579139466,16777216,16777216,1.0,67520,59632,0.0,5
