n_qubits,complex_seconds,realified_4m_seconds,realified_3m_seconds,ratio_4m_over_complex,ratio_3m_over_complex,speedup_3m_over_4m,error_4m_vs_complex,error_3m_vs_complex,repeats
8,1.80414999988443e-05,7.304299999688624e-05,5.755500000148572e-05,4.048610148910302,3.190144943888954,1.2690991224915422,0.0,4.163336342344337e-17,40
12,2.9362999995896644e-05,9.94869999999537e-05,8.058899999952018e-05,3.3881755956086432,2.7445765082172175,1.2344985047654895,0.0,1.734723475976807e-17,25
16,0.0008979370000048448,0.0006598249999996142,0.000559817000002738,0.7348232671067727,0.6234479701802216,1.1786440926166712,0.0,3.469446951953614e-18,15
18,0.0016810335000023713,0.003958487999998539,0.0018693365000004292,2.35479423818321,1.1120162090748293,2.117589850729192,0.0,2.168404344971009e-18,10
