n_qubits,float64_state_error_vs_complex128,complex64_state_error_vs_complex128,float32_realified_error_vs_complex128,float32_realified_error_vs_complex64,complex128_bytes,float64_realified_bytes,complex64_bytes,float32_realified_bytes
4,1.1443916996305594e-16,1.0113459522432678e-07,1.0113459522432678e-07,5.960464477539063e-08,256,256,128,128
8,1.7554167342883506e-16,5.835637053035758e-08,7.211532808276735e-08,9.064022066240796e-08,4096,4096,2048,2048
12,1.3877787807814457e-16,1.0835334116637617e-07,1.0822949618383983e-07,7.45988799621955e-08,65536,65536,32768,32768
16,8.32847949227958e-17,4.7994772710894736e-08,7.562717141987352e-08,4.3443975528134615e-08,1048576,1048576,524288,524288
